"","Animal","Genotype","Day","Sex","Winding","Time","Distance","TimeNorm","DistNorm","Quadrant"
"293","210222_13","E33","Probe_D8","M",17.32036891,5.7,0.0999,0.095,0.0926028921023359,"NW"
"294","210222_14","E33","Probe_D8","M",20.01730015,17.2,0.3108,0.287145242070117,0.283939338571168,"NW"
"295","210222_15","E33","Probe_D8","M",17.40783118,19.4,0.3336,0.323333333333333,0.337583485124469,"NW"
"296","210222_7","E33","Probe_D8","F",17.94868785,8.7,0.1299,0.145,0.111655492521919,"NW"
"297","210222_8","E33","Probe_D8","F",20.17984269,9,0.1903,0.15,0.141465953018139,"NW"
"298","210222_9","E33","Probe_D8","F",18.82032931,11.2,0.2381,0.186356073211314,0.174957748548754,"NW"
"299","061019_1","E44","Probe_D8","M",22.75198095,6.8,0.142,0.113333333333333,0.118028426564708,"NW"
"300","061019_10","E44","Probe_D8","F",25.76451388,14.6,0.3545,0.242928452579035,0.296702376966856,"NW"
"301","061019_2","E44","Probe_D8","M",25.43025944,15.6,0.21,0.26,0.222669918354363,"NW"
"302","061019_3","E44","Probe_D8","M",20.81804791,15.2,0.3081,0.252911813643927,0.235838946723821,"NW"
"303","061019_4","E44","Probe_D8","M",21.90203321,16.8,0.2733,0.28,0.245707093410051,"NW"
"304","061019_5","E44","Probe_D8","M",21.71262475,12.5,0.2928,0.208333333333333,0.208102345415778,"NW"
"305","061019_6","E44","Probe_D8","F",25.33549132,13,0.2696,0.216666666666667,0.217700258397933,"NW"
"306","061019_7","E44","Probe_D8","F",23.85328974,11.1,0.2237,0.185308848080134,0.193595845954132,"NW"
"307","061019_8","E44","Probe_D8","F",22.10515771,20.3,0.4124,0.338333333333333,0.341701880851769,"NW"
"308","061019_9","E44","Probe_D8","F",22.72867074,5.8,0.1339,0.0965058236272879,0.103766274023559,"NW"
"309","210201_10","E44","Probe_D8","F",19.61485795,6.1,0.1253,0.101497504159734,0.108353510895884,"NW"
"310","210201_11","E44","Probe_D8","M",16.75701634,7.3,0.1292,0.121666666666667,0.124722463558259,"NW"
"311","210201_12","E44","Probe_D8","M",22.99171505,8.8,0.141,0.146666666666667,0.191654206877803,"NW"
"312","210201_13","E44","Probe_D8","M",16.74580227,12.1,0.2835,0.201666666666667,0.229443185496925,"NW"
"313","210201_14","E44","Probe_D8","M",19.15873985,18.7,0.3548,0.311148086522463,0.304941985388913,"NW"
"314","210201_15","E44","Probe_D8","M",17.57164938,12.7,0.2169,0.211666666666667,0.238063878827791,"NW"
"315","210201_16","E44","Probe_D8","M",18.1711982,6.6,0.1602,0.11,0.142818935544263,"NW"
"316","210201_17","E44","Probe_D8","M",19.40894248,9.7,0.2056,0.161666666666667,0.181177299964751,"NW"
"317","210201_18","E44","Probe_D8","M",20.30825099,7.4,0.1445,0.123333333333333,0.12470872529559,"NW"
"318","210201_6","E44","Probe_D8","F",14.70776212,9.8,0.2323,0.163333333333333,0.170108377270064,"NW"
"319","210201_7","E44","Probe_D8","F",18.00366982,7.1,0.1715,0.118530884808013,0.129943930898621,"NW"
"320","210201_8","E44","Probe_D8","F",14.69296933,4.6,0.128,0.0767946577629382,0.0836710681134789,"NW"
"321","210201_9","E44","Probe_D8","F",16.08951342,4.8,0.1227,0.08,0.0862384031487208,"NW"
"376","190715_10","E22","Probe_D8","M",21.36000062,5.2,0.0763,0.0866666666666667,0.0699614890885751,"NE"
"377","190715_5","E22","Probe_D8","M",17.46487726,6.8,0.1441,0.113333333333333,0.112534166341273,"NE"
"378","190715_6","E22","Probe_D8","M",17.72005208,7.1,0.1621,0.118333333333333,0.125357667620447,"NE"
"379","190715_7","E22","Probe_D8","F",18.42535606,8.9,0.1942,0.148333333333333,0.172315882874889,"NE"
"380","190715_8","E22","Probe_D8","F",16.2268552,6.4,0.1479,0.106666666666667,0.113629379225569,"NE"
"381","190715_9","E22","Probe_D8","M",16.62564396,14.8,0.2568,0.246666666666667,0.209325073361591,"NE"
"382","210222_16","E22","Probe_D8","M",18.52169676,3.8,0.0989,0.0633333333333333,0.0764828706209883,"NE"
"383","210222_17","E22","Probe_D8","F",16.92387451,15.9,0.3452,0.265,0.25427224513848,"NE"
"384","210503-18","E22","Probe_D8","M",16.90386145,5.6,0.1357,0.10916179337232,0.112492746414656,"NE"
"385","210503-19","E22","Probe_D8","M",13.25988071,11.1,0.2272,0.297587131367292,0.280944726103623,"NE"
"386","210503-20","E22","Probe_D8","M",19.18400168,4,0.0721,0.0773694390715667,0.0672825681224337,"NE"
"387","210503-21","E22","Probe_D8","F",17.95355691,5.2,0.1255,0.0988593155893536,0.105693110998821,"NE"
"388","210503-22","E22","Probe_D8","F",17.59719336,9.3,0.2033,0.17953667953668,0.185865788992503,"NE"
"389","190715_1","E33","Probe_D8","M",14.97833585,20.4,0.4482,0.34,0.3236568457539,"NE"
"390","190715_2","E33","Probe_D8","M",16.31367683,10.8,0.2569,0.18,0.183369022127052,"NE"
"391","190715_3","E33","Probe_D8","M",18.51503263,5.1,0.1037,0.0848585690515807,0.0939311594202898,"NE"
"392","210201_1","E33","Probe_D8","F",20.15500079,1.4,0.0276,0.0233333333333333,0.023383885452851,"NE"
"393","210201_2","E33","Probe_D8","F",14.47823213,4.7,0.1167,0.0783333333333333,0.0743880673125956,"NE"
"394","210201_3","E33","Probe_D8","F",19.9776686,2.3,0.0396,0.0383333333333333,0.0332940978644695,"NE"
"395","210201_4","E33","Probe_D8","F",18.20014656,10.2,0.266,0.17,0.179766168818004,"NE"
"396","210201_5","E33","Probe_D8","F",17.63891831,16.8,0.4069,0.280467445742905,0.284088528939468,"NE"
"397","210222_10","E33","Probe_D8","F",18.90466655,16.3,0.2857,0.271666666666667,0.254975457385096,"NE"
"398","210222_11","E33","Probe_D8","F",17.5291533,4.2,0.07,0.07,0.0541418516513265,"NE"
"399","210222_12","E33","Probe_D8","F",21.28864558,6.5,0.1453,0.108333333333333,0.135680268932673,"NE"
"400","210222_13","E33","Probe_D8","M",17.32036891,13.7,0.2444,0.228333333333333,0.226548016314423,"NE"
"401","210222_14","E33","Probe_D8","M",20.01730015,7.7,0.1408,0.128547579298831,0.128631463548328,"NE"
"402","210222_15","E33","Probe_D8","M",17.40783118,2.4,0.0366,0.04,0.037037037037037,"NE"
"403","210222_7","E33","Probe_D8","F",17.94868785,7,0.1221,0.116666666666667,0.104951005673027,"NE"
"404","210222_8","E33","Probe_D8","F",20.17984269,7.4,0.1738,0.123333333333333,0.129200118941421,"NE"
"405","210222_9","E33","Probe_D8","F",18.82032931,5.5,0.1347,0.0915141430948419,0.0989786170916305,"NE"
"406","061019_1","E44","Probe_D8","M",22.75198095,17.7,0.3425,0.295,0.284681240129665,"NE"
"407","061019_10","E44","Probe_D8","F",25.76451388,5,0.1214,0.0831946755407654,0.101606963508537,"NE"
"408","061019_2","E44","Probe_D8","M",25.43025944,2.7,0.0616,0.045,0.0653165093839466,"NE"
"409","061019_3","E44","Probe_D8","M",20.81804791,4.1,0.0944,0.0682196339434276,0.0722596448254746,"NE"
"410","061019_4","E44","Probe_D8","M",21.90203321,5.6,0.1268,0.0933333333333333,0.113998022116336,"NE"
"411","061019_5","E44","Probe_D8","M",21.71262475,5.8,0.1244,0.0966666666666667,0.0884150675195451,"NE"
"412","061019_6","E44","Probe_D8","F",25.33549132,5.4,0.1367,0.09,0.110384366925065,"NE"
"413","061019_7","E44","Probe_D8","F",23.85328974,7.3,0.1513,0.121869782971619,0.13093898745132,"NE"
"414","061019_8","E44","Probe_D8","F",22.10515771,11.8,0.2531,0.196666666666667,0.20971082939763,"NE"
"415","061019_9","E44","Probe_D8","F",22.72867074,14.1,0.2588,0.234608985024958,0.200557966522009,"NE"
"416","210201_10","E44","Probe_D8","F",19.61485795,11.2,0.2452,0.186356073211314,0.212037357315808,"NE"
"417","210201_11","E44","Probe_D8","M",16.75701634,4.9,0.0932,0.0816666666666667,0.0899700743314992,"NE"
"418","210201_12","E44","Probe_D8","M",22.99171505,27.8,0.3183,0.463333333333333,0.432649177653935,"NE"
"419","210201_13","E44","Probe_D8","M",16.74580227,11.5,0.2594,0.191666666666667,0.209938491421172,"NE"
"420","210201_14","E44","Probe_D8","M",19.15873985,2.6,0.0642,0.043261231281198,0.0551783412118608,"NE"
"421","210201_15","E44","Probe_D8","M",17.57164938,13,0.1357,0.216666666666667,0.14894084074196,"NE"
"422","210201_16","E44","Probe_D8","M",18.1711982,10.2,0.1732,0.17,0.154408487117768,"NE"
"423","210201_17","E44","Probe_D8","M",19.40894248,7,0.1222,0.116666666666667,0.10768417342263,"NE"
"424","210201_18","E44","Probe_D8","M",20.30825099,6,0.1062,0.1,0.0916544403210495,"NE"
"425","210201_6","E44","Probe_D8","F",14.70776212,21.9,0.4739,0.365,0.347026947861746,"NE"
"426","210201_7","E44","Probe_D8","F",18.00366982,15.7,0.3577,0.262103505843072,0.271025913017124,"NE"
"427","210201_8","E44","Probe_D8","F",14.69296933,13.8,0.3394,0.230383973288815,0.221859066544646,"NE"
"428","210201_9","E44","Probe_D8","F",16.08951342,4.7,0.1074,0.0783333333333333,0.0754849592353107,"NE"
